time,area_h1,area_h2,area_h3,area_h4,area_h5,area_h6,area_h7
1631250,69256.81244106,83967.015808738,62851.868657127,72063.751715646,56055.885081321,11032.977643405,294771.68865269
1637500,69030.807834448,83984.11356549,62913.943806251,72137.843118004,56204.158367542,11040.877919466,294688.25538879
1643750,68805.11286256,84000.271783754,62977.600449589,72210.448121549,56353.078885869,11052.791794085,294600.69610258
1650000,68579.445011617,84015.250472128,63042.910550394,72281.65893059,56502.911471525,11069.212653156,294508.61091058
1656250,68353.536672749,84028.49471227,63109.953147857,72351.570668952,56653.849092416,11084.567511118,294418.02819463
1662500,68127.143897573,84039.267835421,63179.285982244,72420.277736478,56805.974966092,11108.619032193,294319.43054999
1668750,67900.05434113,84046.982528519,63252.18548358,72487.871338456,56959.239946339,11128.787680447,294224.87868152
1675000,67672.093759147,84050.820163911,63329.932397363,72554.436755531,57113.470171481,11159.936035553,294119.310717
1681250,67443.127739996,84050.72676535,63412.353859164,72620.05194309,57268.404829165,11186.073260056,294019.26160317
1687500,67213.058062664,84049.880675967,63496.004878521,72684.785602531,57423.746413375,11224.389762126,293908.13460481
1693750,66981.814095696,84053.082455501,63576.587178784,72748.696387354,57579.205047268,11257.115068412,293803.49976697
1700000,66749.305195912,84062.694199574,63652.362433349,72811.831364163,57734.528187454,11303.235282585,293686.04333695
1706250,66515.298692706,84078.237194204,63723.877086851,72874.225364256,57889.518479758,11342.743763047,293576.09941917
1712500,66279.31731242,84098.385534629,63792.583901734,72935.899534098,58044.042583297,11397.578465483,293452.19266833
1718750,66040.322444064,84122.205658561,63859.685258081,72996.860821958,58198.034564201,11444.035965197,293338.85528793
1725000,65796.703803611,84148.83474837,63925.831085259,73057.100811508,58351.494801883,11508.318193736,293211.71655562
1731250,65547.970629136,84176.385592074,63989.806326895,73116.595912751,58504.485504701,11562.120860881,293102.63517355
1737500,65295.093768482,84203.14965484,64050.527218343,73175.307298641,58657.120374023,11635.864848595,292982.93683707
1743750,65039.144266755,84229.40741465,64108.839286594,73233.182755105,58809.547546425,11697.909979574,292881.96875089
1750000,64781.601727162,84255.51478842,64165.295715289,73290.15832693,58961.926392844,11780.359283003,292765.14376634
1756250,64525.058308272,84280.482285819,64219.597539988,73346.161830397,59114.401731942,11852.306268225,292661.99203535
1762500,64270.202829121,84303.90351907,64272.313887164,73401.116007852,59267.079992431,11942.632574956,292542.7511894
1768750,64014.841359354,84326.747446555,64325.294803419,73454.942864084,59420.010609439,12027.118259868,292431.04465727
1775000,63757.819495107,84349.340973409,64379.770632891,73507.567269838,59573.172770577,12124.611176589,292307.71768158
1781250,63499.813555858,84371.148464107,64435.838177167,73558.920763634,59726.472990462,12224.06671295,292183.73933581
1787500,63242.255298817,84391.348464802,64492.982424547,73608.944500399,59879.75851468,12328.225623537,292056.48517321
1793750,62987.054624406,84408.799556166,64550.405107026,73657.591676699,60032.848013735,12442.878231969,291920.42278999
1800000,62734.096339056,84423.325733211,64608.293495753,73704.829365007,60185.569619076,12554.600796987,291789.2846509
1806250,62481.498085508,84435.656108985,64667.680216359,73750.639625988,60337.796146065,12683.659079477,291643.07073761
